Hostname,Model,CPUs,RAMGB,RAMSlots,RAMSpeedMHz,GeekBench single-core score,GeekBench muti-core score
H05,PowerEdge R630,"2 * Intel(R) Xeon(R) CPU E5-2637 v3 @ 3.50GHz
4 Cores
8 Threads
3500 MHz",128,4/24 slots,2400,,
H02,PowerEdge R630,"2 * Intel(R) Xeon(R) CPU E5-2637 v3 @ 3.50GHz
4 Cores
8 Threads
3500 MHz",128,8/24 slots,2133,,
H04,PowerEdge R720,"2 * Intel(R) Xeon(R) CPU E5-2640 0 @ 2.50GHz
6 Cores
12 Threads
2500 MHz",256,16/24 slots,1600,,
H08,PowerEdge R630,"2 * Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz
4 Cores
8 Threads
3000 MHz",64,2/24 slots,2666,,
H09,PowerEdge R630,"2 * Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz
4 Cores
8 Threads
3000 MHz",128,16/24 slots,2133,,
H11,ProLiant DL380 G7,"2 * Intel(R) Xeon(R) CPU           E5645  @ 2.40GHz
6 Cores
12 Threads
2400 MHz",64,8/9 9 slots,1333,,
H12,PowerEdge T610,"2 * Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz
4 Cores
8 Threads
2394 MHz",96,12/12 slots,1333,,
H10,PowerEdge R730,"2 * Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz
8 Cores
16 Threads
2400 MHz",160,10/24 slots,2133,,
H14-Upjohn1,PowerEdge R730xd,"2 * Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz
8 Cores
16 Threads
2100 MHz",256,8/24 slots,2400,,
H15-Upjohn2,PowerEdge R730xd,"2 * Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz
8 Cores
16 Threads
2100 MHz",256,8/24 slots,2400,,
H16,PowerEdge R640,"2 * Intel(R) Xeon(R) Silver 4114 CPU @ 2.20GHz
10 Cores
20 Threads
2195 MHz",128,8/24 slots,2400,,
H17,PowerEdge R740xd,"2 * Intel(R) Xeon(R) Gold 5118 CPU @ 2.30GHz
12 Cores
24 Threads
2295 MHz",128,8/24 slots,2400,,
H19,PowerEdge R760xs,"2 * Intel(R) Xeon(R) Silver 4416+
20 Cores
40 Threads
2000 MHz",256,4/16 slots,4800,,
SERVER24,ProLiant DL380 G7,"2 * Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz
6 Cores
12 Threads
3333 MHz",96,12/9 9 slots,1333,,
Server25,PowerEdge R720,"2 * Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz
8 Cores
16 Threads
2600 MHz",160,20/24 slots,1333,,
h18, ,"2 * Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz
12 Cores
24 Threads
2200 MHz",128,8/24 slots,2133,,
